"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 5:23:56 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,spa_01
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production","ChlA (depth integrated)"
"Layer 1 Surface temp","Temperature - surface"
"Layer 2 Bottom temp","Temperature - bottom"
"Layer 3 PP","ChlA (depth integrated)"
"Layer 4 Average temp","Salinity - average"
"Layer 5 Salinity","Salinity - average"
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",494806.705026413
"Number of cells",2245

TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
11,0.02330332,0.002610755,0.001917141,0.03305222,0.02474099,0.1756698,0.006914033,0.00286166,0.04376601,0.003303559,0.01537854,0.002425335,0.0007116136,0.009694378,0.01739757,0.002416698,0.0008435647,0.03918784,0.00173235,0.03122396,9.216422E-05,0.04394328,0.0001449299,0.03025234,0.07255082,0.003472959,0.003204611,0.0001110139,0.0008657281,3.8922E-05,0.001029569,0.0003755875,0.0003261323,0.0385096,0.0003145258,0.002893564,0.00127201,9.546265E-06,4.127782E-05,0.001920309,0.06068614,0.01217934,0.05151518,0.004017045,0.01549952,0.00158238,0.01990491,0.01035163,8.792803,0.0001305448,0.02044058,0.1656469,1.663404,0.1484269,0.0007074717,0.0003235693,0.01770091,0.1825846,0.4065771,0.09848565,0.03721199,0.05165172,0.04657818,0.024022,0.0002399148,1.987376,0.0149364,0.006970232,0.03915094,0.09565103,22.55466,1.742011,9.264084,7.823845,12.79383,2.408867,8.745452,26.3538
12,0.02331875,0.002598081,0.001913891,0.0330793,0.0247706,0.1757424,0.006930989,0.00286792,0.04387419,0.003286155,0.01534567,0.002431306,0.0007133434,0.009786617,0.01750191,0.002426074,0.000844942,0.0399224,0.001733655,0.03098371,9.090608E-05,0.04357465,0.0001503245,0.0301579,0.07258946,0.00341354,0.003222973,0.0001099786,0.0008743315,3.921107E-05,0.001032358,0.000381884,0.0003255535,0.03744015,0.000334504,0.002890083,0.001243892,9.513215E-06,4.111754E-05,0.001910561,0.06031591,0.01326451,0.05161352,0.004014437,0.01550946,0.001578358,0.02016564,0.01027992,8.948698,0.0001309853,0.02042867,0.1659513,1.672019,0.1510012,0.0007029739,0.0003302759,0.01803658,0.165263,0.3977285,0.1024172,0.03740165,0.05039566,0.0518144,0.0253007,0.000238376,2.126635,0.012998,0.006748549,0.04627094,0.09716209,23.04514,1.920791,8.445777,7.297147,10.02624,2.673115,6.437037,21.26633
13,0.02333731,0.002585712,0.001910888,0.03312985,0.02480344,0.1758226,0.00694777,0.002873378,0.04397957,0.003268979,0.01509335,0.002433216,0.000714958,0.009874842,0.017126,0.002434745,0.0008444387,0.03966823,0.001734865,0.02992628,9.467913E-05,0.04350254,0.0001232717,0.02957137,0.07267603,0.003151865,0.003196067,0.0001087511,0.0008523237,3.936312E-05,0.001033905,0.0003787435,0.0003256577,0.03509664,0.000322938,0.002867161,0.001184916,9.444751E-06,4.090276E-05,0.001900245,0.06026256,0.01403953,0.05168753,0.004014342,0.0154939,0.001577504,0.02007053,0.01022537,9.064141,0.00013122,0.02028807,0.1659844,1.671618,0.1511916,0.0006982877,0.0003385062,0.01840755,0.1426473,0.3794231,0.09980877,0.03630083,0.04835179,0.05297118,0.02558722,0.000236518,2.262816,0.01030938,0.005172092,0.04602814,0.09750786,23.15989,1.91214,6.935398,6.596824,8.058722,3.394501,5.062614,16.41499
14,0.0233562,0.002573556,0.001907628,0.03320071,0.02483853,0.1758471,0.006963436,0.002877751,0.04407882,0.003251258,0.01479896,0.002433907,0.0007165105,0.009961722,0.0166574,0.002442427,0.0008432742,0.03956926,0.001734844,0.02901095,9.555347E-05,0.04356002,0.0001085735,0.029286,0.07277421,0.002943844,0.003146333,0.0001081984,0.000825994,3.962431E-05,0.001034491,0.0003724452,0.0003262412,0.03269752,0.0003114294,0.002889208,0.001155143,9.338293E-06,4.073709E-05,0.001893285,0.06049048,0.01479256,0.05175754,0.004017502,0.01546193,0.001578049,0.01977061,0.01024777,9.206981,0.0001312509,0.02011462,0.1654425,1.659915,0.1507228,0.0006932313,0.0003465129,0.01853244,0.124937,0.3509515,0.09163789,0.03408955,0.04470417,0.05466606,0.02578911,0.0002366118,2.317614,0.007965323,0.00407966,0.04514664,0.09657778,22.54585,1.853116,5.322356,5.75393,7.179161,4.426036,4.66861,13.19635
15,0.02337264,0.002561494,0.001903938,0.03328065,0.02487371,0.1757865,0.006977154,0.002880753,0.04416859,0.003234123,0.01451465,0.002432655,0.0007178769,0.0100479,0.01620202,0.002449382,0.0008417519,0.04074487,0.00173296,0.02914453,9.680631E-05,0.04359079,9.87289E-05,0.02934074,0.072827,0.003022393,0.003118447,0.0001091192,0.0008250368,3.976543E-05,0.001033621,0.000371908,0.0003269743,0.03230075,0.0003106443,0.002863283,0.001150543,9.191652E-06,4.103167E-05,0.001894306,0.06088315,0.01544348,0.05182419,0.004019073,0.01542685,0.001580161,0.01920378,0.01033764,9.328162,0.0001312221,0.01993519,0.1642872,1.637637,0.1503115,0.0006877687,0.0003535732,0.01834211,0.1153764,0.3191278,0.08163834,0.03228043,0.04106655,0.05771384,0.02613616,0.0002378811,2.265328,0.006405951,0.003475157,0.04322887,0.09439845,21.47778,1.791792,4.039678,4.958704,7.791552,5.817275,5.693969,11.98306
16,0.02338419,0.002549405,0.001899336,0.03335474,0.02490667,0.1756114,0.006988581,0.002882758,0.0442459,0.00321722,0.01424452,0.002429479,0.000719023,0.01013373,0.01577283,0.002456147,0.0008399248,0.04230885,0.001730003,0.02978375,9.533459E-05,0.04344851,9.280731E-05,0.02966777,0.07283214,0.003264404,0.00313613,0.0001105182,0.0008503153,3.96644E-05,0.001031425,0.0003845509,0.0003275728,0.0344391,0.0003228455,0.002891256,0.001193165,9.011347E-06,4.150871E-05,0.001902686,0.06140329,0.01591771,0.05189601,0.004024353,0.01539565,0.001581133,0.01846259,0.01048166,9.403541,0.000131193,0.01975509,0.1627868,1.611802,0.1492747,0.0006819501,0.0003592291,0.01792517,0.1133064,0.2936028,0.07100043,0.03134282,0.03836153,0.06042575,0.02645799,0.0002390841,2.138795,0.006408592,0.00317316,0.0409987,0.09137356,20.37793,1.731553,3.296809,4.405435,9.659407,7.02575,8.171367,13.47875
17,0.02339312,0.002537088,0.001893307,0.03341521,0.02493911,0.1754116,0.006998504,0.002884747,0.04431456,0.003200402,0.01400364,0.002425324,0.0007200679,0.01021966,0.01538454,0.002463339,0.0008377476,0.04270356,0.001727389,0.03054377,9.464265E-05,0.04342388,9.092705E-05,0.03012932,0.07281823,0.003468502,0.003172825,0.0001110942,0.0008761548,3.963444E-05,0.001028337,0.0003965083,0.0003278748,0.03738529,0.0003305331,0.003004538,0.001297851,8.812236E-06,4.203259E-05,0.001914833,0.06195735,0.01521916,0.05201533,0.004034839,0.01538546,0.001584879,0.01772559,0.01061912,9.32569,0.0001311551,0.01958007,0.161466,1.593059,0.1479349,0.0006758836,0.0003578808,0.01744907,0.1226193,0.2811309,0.06306803,0.03136175,0.03735537,0.0597906,0.02609039,0.0002414779,1.986758,0.007329474,0.003219734,0.03869047,0.08841685,19.79724,1.70886,3.143494,4.330903,12.07923,7.081528,11.55979,17.61251
18,0.0234051,0.00252468,0.001886261,0.03345875,0.02497578,0.1753546,0.007008506,0.002888028,0.04438439,0.003183652,0.01382965,0.002421447,0.0007224676,0.01030684,0.01502912,0.002471427,0.0008344708,0.04156652,0.001726908,0.03073604,9.362706E-05,0.0437692,9.103564E-05,0.03038197,0.0728294,0.003454469,0.003201808,0.0001123198,0.0008918584,3.947819E-05,0.001025878,0.000393182,0.0003282919,0.03750291,0.00033107,0.003146972,0.001368715,8.613705E-06,4.205249E-05,0.001925083,0.06239448,0.01382835,0.05237919,0.004048898,0.01542949,0.00159018,0.01755669,0.01069827,9.182683,0.0001310245,0.01943327,0.1610377,1.589288,0.1461135,0.0006695718,0.000349741,0.01723378,0.145902,0.2846275,0.05939253,0.03162192,0.03814799,0.05487644,0.0249886,0.0002445658,1.871121,0.008521343,0.003249667,0.03353584,0.08623084,19.48687,1.591189,3.598208,4.845313,14.01984,5.757198,14.00105,23.28423
19,0.0234187,0.002512632,0.001878786,0.03348273,0.02501511,0.1754644,0.0070195,0.00289219,0.04445896,0.003167209,0.01370448,0.00241859,0.0007256472,0.01038898,0.01457193,0.002477663,0.0008277643,0.03998206,0.001727439,0.03008304,9.240675E-05,0.04396003,8.958888E-05,0.0299886,0.07288058,0.003272414,0.003203887,0.0001128597,0.000876761,3.933127E-05,0.001025037,0.000383385,0.0003283538,0.03597924,0.0003181643,0.003176862,0.001371983,8.433203E-06,4.185074E-05,0.001931116,0.06245106,0.01235631,0.05286108,0.004055541,0.01549032,0.001591212,0.01753924,0.01065737,9.030386,0.00013081,0.01931076,0.1613781,1.600591,0.1436232,0.0006629505,0.0003401046,0.01727631,0.1748594,0.2976104,0.05974901,0.03144481,0.04009011,0.04914561,0.02370313,0.0002463585,1.800865,0.009293721,0.003100385,0.028154,0.08514511,19.47056,1.431374,4.605945,5.769999,15.65247,4.501753,15.41364,27.79257
20,0.02343256,0.002500906,0.001871568,0.03349182,0.02505527,0.1757352,0.007032541,0.002897097,0.04454324,0.003151082,0.01361964,0.002416341,0.0007292035,0.01047074,0.01408808,0.002482052,0.0008186916,0.03832502,0.001728287,0.02915859,8.877079E-05,0.04395856,8.680828E-05,0.02892319,0.07295784,0.003079677,0.003184991,0.0001134776,0.0008527479,3.902926E-05,0.001025689,0.0003716996,0.0003279416,0.03408305,0.0002911259,0.003087524,0.001359306,8.28329E-06,4.159571E-05,0.001927715,0.06190256,0.01099429,0.05339663,0.004045806,0.01553975,0.001583334,0.01712176,0.0104912,8.878621,0.0001305861,0.01920623,0.162256,1.623947,0.1413946,0.0006563631,0.0003304074,0.01731219,0.1982275,0.322634,0.06622248,0.03264159,0.04330132,0.0437016,0.02241528,0.0002456492,1.784901,0.009959116,0.00297126,0.0234082,0.0853335,19.74469,1.279541,6.122999,6.8521,16.35048,3.660637,14.77762,30.76542
21,0.02344714,0.002489052,0.001865347,0.03349395,0.02509257,0.1760222,0.007046596,0.002901673,0.04463291,0.003134396,0.01353999,0.002412257,0.0007325861,0.01055773,0.01379768,0.002488191,0.0008124682,0.0366949,0.001728853,0.02921577,9.033261E-05,0.04455635,8.93177E-05,0.02805986,0.0730059,0.003049059,0.003166229,0.0001150665,0.0008428464,3.917045E-05,0.001028148,0.0003601777,0.0003270407,0.03389225,0.0002759128,0.002976926,0.001365109,8.171975E-06,4.126847E-05,0.001922871,0.06104954,0.009788731,0.05393034,0.00402455,0.01561155,0.001569724,0.01680455,0.01028917,8.705899,0.0001303197,0.0190989,0.1631616,1.650974,0.1419549,0.0006505504,0.0003204277,0.01748956,0.2103178,0.3552446,0.07809409,0.03430645,0.04709153,0.03880787,0.02117769,0.0002453877,1.820367,0.01167988,0.003910885,0.02003856,0.08658975,20.28234,1.224023,7.778809,7.738244,16.43141,3.094521,13.54626,30.82465
22,0.02345755,0.002477248,0.001860923,0.0334892,0.02512192,0.1761288,0.007061506,0.00290561,0.04472461,0.003117657,0.01339939,0.002407775,0.0007345062,0.01064539,0.0135667,0.002495748,0.0008090324,0.03706161,0.001729102,0.02974046,8.875997E-05,0.04412812,8.720366E-05,0.0270489,0.0729985,0.003300382,0.003182168,0.0001172051,0.0008670058,3.932611E-05,0.001029311,0.0003630612,0.0003257512,0.03590608,0.0002586409,0.002785313,0.001329005,8.098091E-06,4.097259E-05,0.001915133,0.06001143,0.009943583,0.05436784,0.003998912,0.01566496,0.001550142,0.01633195,0.01009352,8.696774,0.0001301981,0.01898017,0.1638274,1.673955,0.1444129,0.0006459565,0.0003112094,0.01745808,0.2058982,0.3865975,0.09069717,0.03497732,0.05122932,0.04104498,0.0218794,0.000243254,1.8823,0.01369127,0.005085489,0.02735034,0.08816368,21.46851,1.450439,8.962471,8.009198,15.4146,2.66325,11.57602,29.48951
23,0.02346869,0.002465588,0.00185759,0.03349288,0.02514728,0.1761936,0.007077623,0.002910123,0.04482111,0.003101662,0.01324501,0.002405168,0.0007357619,0.01073329,0.0133614,0.002503774,0.0008065923,0.03840357,0.001730025,0.03027808,8.719582E-05,0.0436324,8.781016E-05,0.026199,0.07298145,0.003503388,0.00321543,0.0001169898,0.0008901752,3.963859E-05,0.001031184,0.0003769851,0.0003246114,0.03730393,0.0002574891,0.00266387,0.001280065,8.053374E-06,4.073821E-05,0.001903293,0.05905474,0.01081472,0.05458674,0.003977665,0.01569331,0.001529797,0.01601375,0.009917612,8.801987,0.0001305107,0.0188674,0.1643285,1.691093,0.1480469,0.0006420343,0.0003134266,0.01747571,0.1908754,0.4027459,0.09948351,0.03463144,0.05425414,0.04635712,0.02358723,0.0002391496,1.985419,0.01375348,0.005637679,0.03676647,0.08961497,22.46433,1.741587,9.2469,7.82333,12.79351,2.41182,8.74791,26.35991
