"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 5:23:56 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,spa_01
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production","ChlA (depth integrated)"
"Layer 1 Surface temp","Temperature - surface"
"Layer 2 Bottom temp","Temperature - bottom"
"Layer 3 PP","ChlA (depth integrated)"
"Layer 4 Average temp","Salinity - average"
"Layer 5 Salinity","Salinity - average"
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",494806.705026413
"Number of cells",2245

Year,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
11,0.02481397,0.00171033,0.001582303,0.03637582,0.0277348,0.1810741,0.008440306,0.00297879,0.05171799,0.002080658,0.009337126,0.002608901,0.0008954987,0.02141423,0.004364619,0.00289115,0.0006568767,0.03997451,0.001821481,0.02860613,8.917184E-05,0.03875504,4.695171E-05,0.01236415,0.07418596,0.003604633,0.003224178,0.0001609298,0.001169953,6.068345E-05,0.001165926,0.0004004023,0.0003098764,0.02901842,0.0002787047,0.001586183,0.0006539419,3.69091E-06,3.909455E-05,0.001956467,0.05073097,0.0105513,0.1030073,0.003511094,0.01646271,0.001388774,0.01190546,0.0106383,9.534026,0.0001500462,0.01718039,0.1421089,1.873599,0.1534065,0.0003355099,0.0003385351,0.01695397,0.1629009,0.3557483,0.08423996,0.03311163,0.04679444,0.05132688,0.02814128,0.0002497928,2.018671,0.008983244,0.003447713,0.03344798,0.06186681,20.6438,1.624599,5.934912,6.183952,12.10075,4.367589,9.988988,21.89515
12,0.02496265,0.001657778,0.001566012,0.03659966,0.02797678,0.1820684,0.008603241,0.003030725,0.05267006,0.002024724,0.009094785,0.002666779,0.000868914,0.02289558,0.004409056,0.002932392,0.0006623543,0.0417186,0.001895461,0.02853814,8.680567E-05,0.03840781,3.742963E-05,0.01213806,0.07452582,0.003584985,0.003267398,0.0001667785,0.001211744,6.12845E-05,0.001195435,0.0004020763,0.0003108032,0.02805147,0.0002442619,0.001593408,0.0006081206,3.552032E-06,3.919386E-05,0.001982423,0.05241494,0.00991655,0.1115021,0.00347566,0.01660506,0.00138116,0.01157607,0.01073337,9.520466,0.0001537766,0.01709921,0.141444,1.887113,0.1521936,0.0003180044,0.0003380501,0.01687168,0.1734801,0.3592972,0.08836817,0.03301493,0.04610071,0.05120175,0.02914226,0.0002493672,2.013587,0.008703583,0.002823942,0.03262104,0.05933798,20.56394,1.622438,5.922489,6.181887,12.09697,4.369282,9.991615,21.89935
13,0.02509003,0.001609523,0.001551367,0.03677259,0.02819832,0.1824443,0.008745848,0.003006323,0.05324918,0.00197719,0.00857079,0.00267579,0.0007906386,0.02407255,0.004082823,0.002844892,0.0006448627,0.04206302,0.001911351,0.02748071,8.534125E-05,0.03767838,3.314941E-05,0.01153431,0.0745774,0.003406793,0.003263296,0.0001728681,0.001235098,6.230406E-05,0.001219801,0.0004012074,0.0003047647,0.02641727,0.0002296372,0.001393491,0.0005945702,3.361518E-06,3.848955E-05,0.001963638,0.05310053,0.009316043,0.120744,0.003369273,0.01639476,0.001346065,0.01039347,0.01049847,9.513942,0.0001549183,0.01657345,0.1393497,1.894456,0.1509629,0.0003028209,0.0003392656,0.0167627,0.1682386,0.3811235,0.09447428,0.03628297,0.04623719,0.05098929,0.0298475,0.0002487812,2.003722,0.00844605,0.002734069,0.03185838,0.05608572,20.51303,1.623422,5.917981,6.182786,12.09832,4.367213,9.992673,21.90199
14,0.02520104,0.001565257,0.001537972,0.03690047,0.02840532,0.1832414,0.008891746,0.002970164,0.05390057,0.001937746,0.008464196,0.002678529,0.000702363,0.02515779,0.005198248,0.002705935,0.0006499845,0.04388126,0.001805655,0.02688866,7.619787E-05,0.03497873,3.208482E-05,0.01085827,0.07468828,0.003349345,0.003266854,0.0001781519,0.001275421,6.329504E-05,0.001246338,0.0004085283,0.0003006512,0.02412924,0.0001856458,0.001021218,0.0005196657,3.211471E-06,3.431962E-05,0.001907452,0.05380543,0.009742555,0.1306893,0.003259388,0.01602032,0.001282453,0.008736734,0.01019497,9.67101,0.0001571067,0.01637078,0.1389112,1.900865,0.1513281,0.0002894287,0.0003434998,0.01531413,0.1839723,0.3617725,0.09137988,0.03502486,0.04358234,0.05859527,0.03150161,0.0002298333,1.98505,0.007788323,0.002693633,0.03445854,0.05409938,19.83695,1.716399,5.860319,6.086414,11.91254,4.450534,9.897923,21.75979
15,0.02526617,0.00152331,0.001525084,0.03699007,0.02861171,0.1851298,0.009027712,0.002909851,0.05452603,0.001904651,0.008950563,0.002692003,0.0005819056,0.02565059,0.005923479,0.002471364,0.0006328426,0.04300791,0.001619486,0.02675302,8.711636E-05,0.03434609,4.207552E-05,0.01003628,0.07494583,0.003281637,0.003111385,0.0001832803,0.001265754,6.189073E-05,0.001263181,0.0004022859,0.0002972783,0.02337078,0.0002108991,0.0009971855,0.0003808957,3.156691E-06,3.063234E-05,0.001867159,0.05373115,0.009617232,0.1415648,0.002995056,0.01571634,0.001214795,0.00785966,0.01016627,9.578341,0.0001575404,0.01674232,0.1398598,1.897695,0.1455454,0.000277774,0.0003409122,0.01361023,0.1633867,0.3806327,0.09238268,0.03937629,0.04526468,0.05579826,0.03066464,0.0002076306,1.998735,0.008931407,0.00346579,0.03169751,0.05616033,19.69596,1.610813,5.899706,6.182678,12.10004,4.357226,10.05975,21.84265
16,0.02530468,0.001484499,0.001516657,0.03711043,0.02879428,0.1864443,0.009143713,0.002867554,0.0551156,0.001876038,0.009477618,0.002721579,0.0004520185,0.02535477,0.007039811,0.002190155,0.0005738561,0.04375333,0.00149708,0.02800013,8.810137E-05,0.03398598,5.16188E-05,0.01141337,0.07505684,0.003387261,0.003061472,0.0001897231,0.001320524,6.117092E-05,0.001270537,0.0004020471,0.00029376,0.02427105,0.0002053606,0.001090685,0.0003065743,3.218071E-06,2.992388E-05,0.00187591,0.05580413,0.0105355,0.1537427,0.002786053,0.01561435,0.001183565,0.008274218,0.01037792,9.568322,0.0001579421,0.01720887,0.1401242,1.899251,0.1475475,0.000268765,0.0003368194,0.0130211,0.2039545,0.3748068,0.09883049,0.04366625,0.05183225,0.05677724,0.03170567,0.0002043723,2.059421,0.009641253,0.003840908,0.03473581,0.06219724,19.46857,1.681719,6.081061,6.257426,12.19022,4.20434,10.00497,22.11224
17,0.02537228,0.001449291,0.001510939,0.03725531,0.02897063,0.1882589,0.009263884,0.002834649,0.05570538,0.001855384,0.009705227,0.002748004,0.0003825657,0.02473473,0.01007294,0.001973497,0.0005258594,0.04302156,0.001394673,0.02641303,7.837449E-05,0.03370068,4.782247E-05,0.01268741,0.0753153,0.003034645,0.002921333,0.0001901659,0.00127476,6.00991E-05,0.001266119,0.000378221,0.0002919897,0.02113017,0.0001783922,0.001108291,0.0002757845,3.224128E-06,2.91298E-05,0.001823094,0.05843797,0.01056396,0.1668205,0.002744899,0.01528068,0.001127845,0.007713463,0.01019014,9.500898,0.0001557127,0.01731256,0.1424128,1.891651,0.1432873,0.0002598974,0.000335373,0.01211129,0.1811771,0.4080062,0.09024525,0.04018338,0.05243902,0.04940899,0.03130644,0.000189079,1.982013,0.008184466,0.003136095,0.03108294,0.069258,19.5455,1.52648,5.477955,6.081711,11.61543,4.543504,9.817964,21.38988
18,0.02535843,0.001413513,0.001497456,0.03713945,0.02912405,0.1890325,0.009350796,0.002780306,0.05599235,0.001839049,0.009206119,0.002715981,0.0003508765,0.0241352,0.01361046,0.001826694,0.0005113133,0.04550399,0.001296352,0.02683526,7.492118E-05,0.03227773,4.088084E-05,0.01286719,0.07514504,0.003319329,0.002885472,0.0001985329,0.001387891,5.61725E-05,0.001251696,0.0004001875,0.0002844803,0.0225052,0.0001677445,0.001111873,0.0003003144,3.135545E-06,2.780127E-05,0.001770372,0.05967918,0.01013726,0.1801599,0.002668064,0.01496236,0.001053555,0.006539425,0.01006664,9.59444,0.0001535895,0.01676797,0.1428153,1.869429,0.1417005,0.00025211,0.0003288826,0.0111569,0.1993356,0.3762492,0.101504,0.03720709,0.05132132,0.05225968,0.03329287,0.0001718505,1.944847,0.008512374,0.002841925,0.03298815,0.07421406,19.4181,1.724125,6.02894,6.167658,12.0714,4.043146,9.946166,21.86565
19,0.02533155,0.001379796,0.001489534,0.03713272,0.0292867,0.188861,0.009401257,0.002743819,0.05611759,0.001828477,0.008784234,0.002683169,0.0003357362,0.0238887,0.01642086,0.001719915,0.0005386128,0.04630916,0.001235936,0.02615527,7.024082E-05,0.02972195,3.734483E-05,0.01122374,0.07526424,0.00313548,0.002869887,0.0001928119,0.001375907,5.239775E-05,0.001244177,0.0003840702,0.0002831542,0.02118568,0.0001835159,0.0009818398,0.0003746039,3.03808E-06,2.778017E-05,0.001839563,0.06444576,0.01025376,0.1939631,0.002610158,0.01508288,0.001069397,0.006429672,0.01064199,9.711222,0.0001496383,0.0163179,0.141344,1.844998,0.1381103,0.0002454683,0.0003198934,0.01075567,0.1878464,0.4044809,0.09474709,0.04679455,0.0486024,0.05151178,0.03377538,0.000164176,1.980612,0.007801854,0.002534863,0.03107974,0.07608026,19.12063,1.565171,5.71678,6.101009,12.0463,4.5,10.07767,21.76521
20,0.02529887,0.001345958,0.001483117,0.03716588,0.02943909,0.18822,0.009437054,0.002765398,0.05629799,0.001823007,0.00914878,0.002694329,0.0003216425,0.02374526,0.01866062,0.00165769,0.0005785322,0.05120819,0.001235898,0.02901283,7.218292E-05,0.02825849,5.560107E-05,0.01324374,0.07538015,0.00375136,0.002948981,0.0002042456,0.001478991,4.87573E-05,0.001237483,0.0004027197,0.0002839849,0.026352,0.000197,0.0009668661,0.0004109745,3.072775E-06,2.759573E-05,0.001879571,0.07184691,0.01057528,0.2076053,0.0026399,0.01534583,0.00114325,0.007622893,0.01127371,9.749303,0.0001487069,0.01658288,0.1403748,1.844849,0.1408689,0.0002389099,0.0003028788,0.01158826,0.214439,0.3943393,0.1018816,0.04034259,0.05270006,0.0575666,0.03602019,0.000176394,2.050984,0.009993365,0.003302569,0.03528783,0.07927689,19.72296,1.791857,6.425629,6.364085,12.65433,3.949604,10.22751,22.60264
21,0.02538391,0.001319024,0.001488963,0.03737153,0.02958891,0.1908591,0.009507206,0.00275656,0.0564345,0.001824694,0.009635268,0.002731785,0.000304738,0.02353978,0.02061675,0.001572822,0.0006193081,0.05277696,0.00125368,0.02849145,6.284577E-05,0.02826721,5.08898E-05,0.0129426,0.0754098,0.003508348,0.002969846,0.0002149151,0.001475921,4.72402E-05,0.001245558,0.0004101406,0.0002811798,0.02567927,0.0001502397,0.0009696318,0.0003181054,3.16517E-06,2.435974E-05,0.001752108,0.06979223,0.01013348,0.2199361,0.00259715,0.01464865,0.00101616,0.006295069,0.01002429,9.792834,0.0001463048,0.01688092,0.1420402,1.872526,0.1502864,0.0002358309,0.0002969585,0.01034279,0.2002981,0.4269958,0.08600798,0.03808645,0.04680885,0.06540657,0.03710544,0.0001503936,2.070294,0.009779242,0.003265147,0.03590259,0.08055905,19.05467,1.960428,6.168119,6.24066,12.45311,4.366569,10.21848,22.524
22,0.02550089,0.001297265,0.001494093,0.03753714,0.02972103,0.1926649,0.009550066,0.002671398,0.05614279,0.00183297,0.009396502,0.002736912,0.0003205697,0.02346992,0.01857705,0.001515955,0.000695245,0.05108738,0.001263303,0.02654439,7.710572E-05,0.02963352,4.157822E-05,0.01207219,0.07508194,0.003145752,0.002817144,0.0002252314,0.001445708,4.638176E-05,0.001253259,0.0004026129,0.0002733186,0.02311299,0.0001634618,0.001062236,0.0003121457,3.168821E-06,2.43118E-05,0.00173891,0.06651539,0.008885953,0.2308383,0.002506449,0.01417125,0.0009636917,0.006121822,0.009268819,9.607564,0.0001407761,0.01660856,0.1407033,1.881607,0.1527551,0.0002332217,0.0002978708,0.009678793,0.2012602,0.3838674,0.102913,0.03918074,0.04881727,0.06025015,0.03611681,0.0001521921,2.037304,0.009173078,0.002885851,0.0309305,0.07956462,19.31503,1.76439,5.840261,6.193081,12.19953,4.523544,10.13311,22.02775
23,0.02554366,0.001277076,0.001493262,0.03756596,0.02983117,0.1920101,0.009566048,0.002626835,0.05596179,0.001846297,0.008688238,0.002718718,0.0003114483,0.02318587,0.01564083,0.00145167,0.0007382003,0.05066085,0.001280926,0.02602926,8.218742E-05,0.03051973,3.734536E-05,0.01189793,0.07478271,0.003156831,0.002817086,0.0002311026,0.001500255,4.674997E-05,0.001263002,0.0004003271,0.0002656774,0.02429244,0.0002007254,0.001080577,0.0003772326,3.08642E-06,2.620606E-05,0.001883393,0.06849026,0.008819746,0.2428688,0.002557487,0.01448656,0.001022553,0.007043898,0.009658105,9.571413,0.0001395638,0.01596275,0.1374964,1.883176,0.1550765,0.0002308313,0.0002995658,0.01151238,0.2012195,0.4319322,0.1029265,0.05196972,0.05474916,0.05975416,0.03606686,0.0001855054,2.027531,0.00897835,0.002852042,0.03188449,0.07634976,19.58471,1.724312,6.090167,6.298483,12.37567,4.296598,10.11312,22.38274
