"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 3:33:23 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,"Gulfwide_EwE_mvl_try3 DC adjustments"
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,Landings

year,fleet,group,value
1983,16,9,0.0002089543
1983,16,12,2.501658E-05
1983,16,15,4.154478E-05
1983,16,18,0.002075212
1983,16,25,1.074814E-05
1983,16,26,0.0004866257
1983,16,33,0.0003832036
1983,16,34,0.0007424271
1983,16,40,0.0005537733
1983,16,41,0.0003528291
1983,16,42,0.01102061
1983,16,44,0.000774234
1983,16,45,0.003171377
1983,16,46,0.006872529
1983,16,47,0.006895909
1983,16,48,0.006411867
1983,16,49,2.817903E-05
1983,16,52,0.001219823
1983,16,53,4.329878E-05
1983,16,57,4.815732E-05
1983,16,64,0.0002080429
1984,1,71,0.03058975
1984,1,72,0.0001967593
1984,1,74,1.27995E-05
1984,2,12,1.906789E-08
1984,2,15,1.66291E-07
1984,2,18,0.0004178112
1984,2,23,7.005728E-07
1984,2,26,3.070088E-05
1984,2,30,1.294979E-08
1984,2,33,3.245889E-05
1984,2,35,1.793624E-09
1984,2,40,0.0006702587
1984,2,41,1.284593E-05
1984,2,42,0.0003922721
1984,2,46,0.0008562859
1984,2,47,0.0002731496
1984,2,48,0.0002218253
1984,2,64,2.539348E-06
1984,2,72,3.818139E-06
1984,3,15,1.772267E-05
1984,3,18,9.174875E-06
1984,3,26,2.271482E-07
1984,3,30,1.815335E-09
1984,3,33,6.446003E-06
1984,3,35,3.182981E-09
1984,3,40,6.926338E-06
1984,3,41,0.0001306058
1984,3,46,7.83724E-06
1984,3,47,0.005396763
1984,4,15,4.887635E-06
1984,5,12,1.648707E-06
1984,6,18,0.007169074
1984,6,23,0.0001256073
1984,6,40,0.0002825126
1984,6,41,0.002268609
1984,6,42,0.003972365
1984,6,46,0.0009129178
1984,6,47,0.009856372
1984,6,48,0.007101174
1984,6,54,4.004259E-06
1984,6,57,0.004170934
1984,6,58,0.002732262
1984,6,64,0.03825608
1984,6,72,0.000215079
1984,7,40,2.53939E-05
1984,7,46,2.873353E-05
1984,7,47,1.151536E-05
1984,7,49,0.0002422126
1984,7,64,3.543651E-06
1984,7,72,0.0003652834
1984,8,33,8.101791E-07
1984,8,40,3.830432E-05
1984,8,46,0.0001063844
1984,8,47,0.001357066
1984,8,72,0.01552425
1984,9,9,0.0002627653
1984,9,12,9.243903E-06
1984,9,18,0.001124576
1984,9,25,0.0003297054
1984,9,41,0.01400739
1984,9,42,0.01303836
1984,9,43,0.0004008156
1984,9,44,2.21975E-07
1984,9,46,0.0002107562
1984,9,47,0.01359305
1984,9,48,3.02628E-05
1984,9,49,6.156714E-05
1984,9,52,0.0001101814
1984,9,54,3.092541E-05
1984,9,57,0.001968189
