"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"7/27/2023 4:35:40 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,spa_01_adjTry3
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,FeedingTime

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
2005,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.671597,1,0.5741096,1,1,0.8259791,1,1.089161,1,0.6335613,1,1,1,1,1.019496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.147962,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7767031,1,0.6644114,1,1,0.8737218,1,1.103015,1,0.6502016,1,1,1,1,1.774616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.040371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.8762283,1,0.84631,1,1,1.056846,1,1.357571,1,0.7844984,1,1,1,1,1.620422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.33455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.9939072,1,1.000779,1,1,1.260841,1,1.549994,1,0.9526255,1,1,1,1,1.822956,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.057671,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7906178,1,0.6725252,1,1,0.9553602,1,1.288828,1,0.7777215,1,1,1,1,1.742044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.022031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.5575426,1,0.4500833,1,1,0.6192888,1,0.9598809,1,0.5484142,1,1,1,1,1.398375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.092403,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.82429,1,0.7713897,1,1,0.7181153,1,1.127535,1,0.6359737,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25309,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.6272167,1,0.6067152,1,1,0.7622334,1,1.051246,1,0.5738727,1,1,1,1,1.995043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.37379,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.8183882,1,0.7696733,1,1,1.379153,1,1.365691,1,0.8172572,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9801907,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.6356005,1,0.4908327,1,1,1.3078,1,1.197006,1,0.6995323,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.247277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0.7164874,1,0.5228938,1,1,1.40165,1,1.220585,1,0.7220706,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.205048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016,1,1,1,1,1,1,1,1,1,1,1,1,1.521167,1,1,1,2,1,1,1,0.3598884,1,0.2824264,1,1,0.7076258,1,0.6281027,1,0.3735517,1,1,1,1,1.760378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.935193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
